,date,open,high,low,close,volume,average,barCount,bb_bbm,bb_bbh,bb_bbl,VWAP,RSI,STsupp,STres,LTsupp,LTres,GLD,UVXY,SQQQ
273,2021-10-14 11:03:00,442.14,442.2,442.11,442.12,578,442.146,471,442.255,442.4074,442.1026,440.7409,44.5637,442.11,442.15,436.12,443.22,168.03,18.47,7.99
274,2021-10-14 11:04:00,442.12,442.25,442.12,442.15,1178,442.181,785,442.2535,442.4094,442.0976,440.7464,47.1459,442.15,442.2,436.12,443.22,168.02,18.5,7.99
275,2021-10-14 11:05:00,442.14,442.21,442.14,442.19,489,442.183,405,442.2535,442.4094,442.0976,440.7488,50.4594,442.15,442.2,436.12,443.22,168.03,18.47,7.98
276,2021-10-14 11:06:00,442.19,442.19,442.12,442.14,464,442.154,328,442.252,442.4116,442.0924,440.7509,46.5324,442.11,442.15,436.12,443.22,168.01,18.49,7.99
277,2021-10-14 11:07:00,442.14,442.15,442.06,442.06,1455,442.116,792,442.2455,442.4241,442.0669,440.7572,41.0304,442.06,442.06,436.12,443.22,167.97,18.47,7.99
278,2021-10-14 11:08:00,442.06,442.13,442.02,442.07,1168,442.071,752,442.236,442.4301,442.0419,440.7622,41.9543,442.06,442.11,436.12,443.22,167.98,18.48,7.99
279,2021-10-14 11:09:00,442.07,442.14,442.06,442.12,1000,442.121,572,442.224,442.4156,442.0324,440.7666,46.4703,442.11,442.15,436.12,443.22,168.0,18.48,7.99
280,2021-10-14 11:10:00,442.12,442.18,442.08,442.17,691,442.134,535,442.2205,442.4133,442.0277,440.7698,50.6086,442.15,442.2,436.12,443.22,168.0,18.47,7.99
281,2021-10-14 11:11:00,442.17,442.27,442.16,442.24,984,442.224,649,442.219,442.4107,442.0273,440.7745,55.7645,442.2,442.25,436.12,443.22,168.0,18.47,7.99
282,2021-10-14 11:12:00,442.23,442.25,442.14,442.24,698,442.187,432,442.217,442.407,442.027,440.7778,55.7645,442.2,442.25,436.12,443.22,168.0,18.46,7.99
283,2021-10-14 11:13:00,442.24,442.25,442.19,442.22,403,442.215,314,442.215,442.4039,442.0261,440.7797,53.9001,442.2,442.25,436.12,443.22,168.03,18.46,7.99
284,2021-10-14 11:14:00,442.22,442.25,442.21,442.23,374,442.234,232,442.2135,442.4015,442.0255,440.7814,54.7154,442.2,442.25,436.12,443.22,168.03,18.47,7.99
285,2021-10-14 11:15:00,442.22,442.31,442.21,442.3,787,442.257,400,442.212,442.3967,442.0273,440.7853,60.0423,442.29,442.36,436.12,443.22,168.03,18.46,7.98
286,2021-10-14 11:16:00,442.3,442.36,442.29,442.36,484,442.312,255,442.2085,442.3786,442.0384,440.7877,63.9561,442.36,442.53,436.12,443.22,168.04,18.46,7.97
287,2021-10-14 11:17:00,442.35,442.36,442.28,442.31,566,442.327,313,442.2065,442.3707,442.0423,440.7905,58.7884,442.29,442.36,436.12,443.22,168.06,18.48,7.98
288,2021-10-14 11:18:00,442.31,442.33,442.25,442.29,338,442.283,240,442.2065,442.3707,442.0423,440.7921,56.8111,442.29,442.36,436.12,443.22,168.09,18.48,7.98
289,2021-10-14 11:19:00,442.29,442.34,442.27,442.33,360,442.313,235,442.209,442.379,442.039,440.7939,59.7286,442.29,442.36,436.12,443.22,168.07,18.49,7.97
290,2021-10-14 11:20:00,442.34,442.36,442.28,442.32,540,442.326,365,442.21,442.3824,442.0376,440.7966,58.6617,442.29,442.36,436.12,443.22,168.09,18.49,7.98
291,2021-10-14 11:21:00,442.31,442.34,442.29,442.31,791,442.309,307,442.216,442.3935,442.0385,440.8004,57.5546,442.29,442.36,436.12,443.22,168.1,18.48,7.98
292,2021-10-14 11:22:00,442.3,442.33,442.25,442.33,568,442.295,330,442.225,442.4064,442.0436,440.8031,59.2125,442.29,442.36,436.12,443.22,168.08,18.49,7.98
293,2021-10-14 11:23:00,442.33,442.37,442.29,442.37,1252,442.324,557,442.2375,442.4226,442.0524,440.8094,62.3778,442.36,442.53,436.12,443.22,168.09,18.48,7.97
